latitude,longitude,scan,track,acq_date,acq_time,satellite,instrument,confidence,daynight
36.451892,-79.693436,2570,2365,2025-01-07,1553,L8,OLI,H,D
36.452158,-79.693097,2571,2364,2025-01-07,1553,L8,OLI,M,D
36.451888,-79.693102,2571,2365,2025-01-07,1553,L8,OLI,M,D
36.049169,-79.642176,2744,3852,2025-01-07,1553,L8,OLI,M,D
36.049436,-79.641838,2745,3851,2025-01-07,1553,L8,OLI,H,D
36.049166,-79.641843,2745,3852,2025-01-07,1553,L8,OLI,H,D
36.049973,-79.641496,2746,3849,2025-01-07,1553,L8,OLI,H,D
36.049703,-79.641501,2746,3850,2025-01-07,1553,L8,OLI,M,D
36.049969,-79.641163,2747,3849,2025-01-07,1553,L8,OLI,H,D
36.049699,-79.641168,2747,3850,2025-01-07,1553,L8,OLI,H,D
36.049965,-79.64083,2748,3849,2025-01-07,1553,L8,OLI,H,D
36.049695,-79.640835,2748,3850,2025-01-07,1553,L8,OLI,H,D
